"URL A","URL B","Intent Similarity","Cannibalization Risk","Action"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gadget/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/game-console/","Medium","Low","KEEP (Differentiated in categories.js)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อ-dell-ขอนแก่น/","High","Medium","DIFFERENTIATE (Focus brand Dell only on brand page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อ-hp-ขอนแก่น/","High","Medium","DIFFERENTIATE (Focus brand HP only on brand page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อ-lenovo-ขอนแก่น/","High","Medium","DIFFERENTIATE (Focus brand Lenovo only on brand page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อ-asus-ขอนแก่น/","High","Medium","DIFFERENTIATE (Focus brand ASUS only on brand page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อ-acer-ขอนแก่น/","High","Medium","DIFFERENTIATE (Focus brand Acer only on brand page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อ-msi-ขอนแก่น/","High","Medium","DIFFERENTIATE (Focus brand MSI only on brand page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook-air/","High","High","DIFFERENTIATE (Differentiate Air features vs general MacBook)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook-pro/","High","High","DIFFERENTIATE (Differentiate Pro features vs general MacBook)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook-m-series/","High","High","DIFFERENTIATE (Focus on Apple Silicon chips on M-Series page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-tablet/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-pro/","High","High","DIFFERENTIATE (Focus on Pro features vs general iPad)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-tablet/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-air/","High","High","DIFFERENTIATE (Focus on Air features vs general iPad)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-tablet/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-gen/","High","High","DIFFERENTIATE (Focus on base Gen features vs general iPad)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-tablet/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ipad-mini/","High","High","DIFFERENTIATE (Focus on Mini size/features vs general iPad)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/computer/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gaming-pc/","High","High","DIFFERENTIATE (Gaming PC vs Office computer)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/computer/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/office-pc/","High","High","DIFFERENTIATE (Office PC bulk/spec vs General computer)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/computer/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/workstation/","High","Medium","DIFFERENTIATE (Enterprise Workstation spec)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gpu/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/rtx-30-series/","High","High","DIFFERENTIATE (Focus on specific RTX 30 specs and pricing)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gpu/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/rtx-40-series/","High","High","DIFFERENTIATE (Focus on specific RTX 40 specs and pricing)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gpu/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/rtx-50-series/","High","High","DIFFERENTIATE (Focus on specific RTX 50 specs and pricing)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/bulk-buyout/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/computer-bulk/","High","High","MERGE CANDIDATE (Keep both but clean template duplication)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/สภาพสินค้าที่ขายได้/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/จอแตกขายได้ไหม/","Low","Low","KEEP (Hub vs Detail page structure)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-เมืองขอนแก่น/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/notebook/","High","High","DIFFERENTIATE (Ensure local pages focus on landmark, route, logistics)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/blog/macbook-resale-price/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/macbook/","High","High","REWRITE (Make blog informational guide; keep transaction on Money page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/blog/iphone-resale-price/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/iphone/","High","High","REWRITE (Make blog informational guide; keep transaction on Money page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/blog/gaming-notebook-resale-price/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gaming-notebook/","High","High","REWRITE (Make blog informational guide; keep transaction on Money page)"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/blog/gpu-resale-price/","https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/gpu/","High","High","REWRITE (Make blog informational guide; keep transaction on Money page)"